unique_input_record_identifier	input_title	lookup_key	input_writers	input_performers		database_song_title	database_song_writers
1XoJocoi2Kz18kqFgZVWDN	Free My Way	FREEMYWAY	Ian Brown	Ian Brown	0020279205	FREE MY WAY	BROWN IAN GEORGE
7p1kmc8AVgYHKLxDnGIY2H	You Can't Outrun 'Em	YOUCANTOUTRUNEM	Jenny Lewis	Jenny Lewis	0041064988	YOU CAN'T OUT RUN EM	LEWIS JENNY DIANE
6Oo0MdVI6g6732qbg8ad6x	Honeysuckle	HONEYSUCKLE	Barry Dean,Hillary Lindsey,busbee	Carly Pearce	0052551943	HONEYSUCKLE	BUSBEE M/LINDSEY H/DEAN B
6P54hhvnaS5kM9nv5tHocS	Hard Headed Woman	HARDHEADEDWOMAN	Claude De Metrius	Elvis Presley	0002883048	HARD HEADED WOMAN	/DE-METRUIS CLAUDE
0kr4qhkSAiBEOvT1aoBcY6	Eenie Meenie	EENIEMEENIE	Michael Sembello,Raymond Pounds	Jeffrey Osborne	0042777353	EENIE MEENIE MINIE MO	SEMBELLO M/POUNDS R
4Z9z2jL0LO1ikTYUZmBAtK	Besame Mucho	BESAMEMUCHO	Skylar,VelÃÂ¡zquez	Francis Goya	0002828111	BESAME MUCHO	VELAZQUEZ CONSUELO TORRES ORTIZ
50yv11h0Rm8BuSdFNTsX60	A Father of Very Little Brain	FATHEROFVERYLITLEBRAIN	Bruce Fowler,David Slonaker,Ed Trybek,Edgardo Simone,Geoff Zanelli,Jennifer Hammond,Jon Brion,Kevin Kaska,Philip Klein,Rick Giovinazzo,Steve Bartek,Yvonne S. Moriarty	Geoff Zanelli,Jon Brion	0054292801	A FATHER OF VERY LITTLE BRAIN	MCNEIL Z/ZANELLI G
5HgXSKXtmhbkwyw9T1s7dP	Love You For Life	LOVEYOUFORLIFE	Curtis D. Harmon,Eddie Baccus,Jr.,Michael (Antonio) Thornton	Pieces Of A Dream	0034340628	LOVE YOU FOR LIFE	HARMON C/THORNTON M/BACCUS E
7muB8MHe9LwtFybCLk043k	Quero Um Baby Seu	QUEROUMBABYSEU	Luiz Carlos Siqueira,Paulo Zdanowski	Caetano Veloso	0041606935	QUERO UM BABY SEU	PAULO ZDANOWSKI/LUIZ CARLOS SIQUEIRA
6suUkCbptTEFsUDGqfYrkC	Come Back Baby	COMEBACKBABY	Kate McGarrigle	Kate & Anna McGarrigle	0039113106	COME BACK BABY	MCGARRIGLE KATE
6jOuqpHYidc4HpnRwr6nRr	Sonata no. 14 in G major: III. Andante cantabile	SONATANO14INGMAJORIIIANDA	Giuseppe Tartini	Luigi De Filippi	0049137591	SONATA NO. 14 IN G MAJOR: III. ANDANTE CANTABILE	GIUSEPPE TARTINI
0jwgNSJVOYiZwbhsnUfBPt	The Hand	HAND	Paula Frazer	Tarnation	0024310011	THE HAND	FRAZER PAULA
788cpxNtwjpKlq6W4mgvDK	Unchained Melody	UNCHAINEDMELODY	Alex North,Barry Manilow,Bill Ross,Hy Zaret,Walter Afanasieff	Barry Manilow	0002614279	UNCHAINED MELODY	NORTH A/ZARET H
59qNxfwZVsasBB9qcPhmIM	Disseminate	DISEMINATE	Bill Leeb,Rhys Fulber	Front Line Assembly	0038256676	DISSEMINATE	LEEB B/FULBER R
3K6Qgi5BlNP9J3ZcotMZMG	Road Less Traveled	ROADLESTRAVELED	Kevin Yost	Kevin Yost	0033272841	ROAD LESS TRAVELLED	YOST KEVIN
7gwtPl068Bd2kYGXwMNa64	Don't You Dream	DONTYOUDREAM	Beresford Romeo,Charlotte Kelly	Soul II Soul	0006744246	DON'T YOU DREAM	ROMEO T/KELLY C
7FaYqYa8EBuDx84rFDO9vW	Long Live Our Love	LONGLIVEOURLOVE	Jerome Louis Jackson,Sidney Barnes	The Shangri-Las	0011126924	LONG LIVE OUR LOVE	JACKSON J/BARNES S
